Reel Number,Extracted Text
605,"If only there was a page that posts how
things are made in the world...

wrt adhadg.
TTA

ve"
606,"If only there was a page that posts how
things are made in the world...."
607,"If only there was a page that posts how
things are made in the world..."
608,"If only there was a page that posts how
things are made in the world...."
609,"If only there was a page that posts how
things are made in the world..."
61,"Amazing bricks manufacturing...

Follow (©) @howthingsformed"
610,"If only there was a page that posts how
things are made in the world...

-"
611,"If only there was a page that posts how
things are made in the world...."
612,"If only there was a page that posts how
things are made in the world...."
613,"If only there was a page that posts how
things are made in the world...."
614,"If only there was a page that posts how
things are made in the world..."
615,"If only there was a page that posts how
things are made in the world...."
616,"If only there was a page that posts how
things are made in the world...."
617,"If only there was a page that posts how
things are made in the world..."
618,"If only there was a page that posts how
things are made in the world....

Sa 88 ii eae —""__,"
619,"If only there was a page that posts how
things are made in the world..."
62,"See @ how candles are made...

Follow {© @howthingsformed"
620,"If only there was a page that posts how
things are made in the world....

= 7h)"
621,"If only there was a page that posts how
things are made in the world...."
622,"If only there was a page that posts how
things are made in the world...

i: a | ee"
623,"If only there was a page that posts how
things are made in the world...."
624,"If only there was a page that posts how
things are made in the world...."
625,"If only there was a page that posts how
things are made in the world...."
626,"If only there was a page that posts how
things are made in the world...."
627,"If only there was a page that posts how
things are made in the world..."
628,"If only there was a page that posts how
things are made in the world...

4

(aN"
629,"If only there was a page that posts how
things are made in the world...."
63,"Handcrafting a wooden comb....

Follow {@) @howthingsformed"
630,"If only there was a page that posts how
things are made in the world...."
631,"If only there was a page that posts how
things are made in the world..."
632,"If only there was a page that posts how
things are made in the world...."
633,"If only there was a page that posts how
things are made in the world...."
634,"If only there was a page that posts how
things are made in the world...."
635,"If only there was a page that posts how
things are made in the world...

ee"
636,"If only there was a page that posts how
things are made in the world...."
637,"If only there was a page that posts how
things are made in the world..."
638,"If only there was a page that posts how
things are made in the world...."
639,"If only there was a page that posts how
things are made in the world..."
64,"Forks and spoons manufacturing .....

ia

Follow (6)@howthingsformed"
640,"If only there was a page that posts how
things are made in the world..."
641,"If only there was a page that posts how
things are made in the world..."
642,"If only there was a page that posts how
things are made in the world...

Te | 0 mame)"
643,"If only there was a page that posts how
things are made in the world...."
644,"If only there was a page that posts how
things are made in the world...."
645,"If only there was a page that posts how
things are made in the world..."
646,"If only there was a page that posts how
things are made in the world..."
647,"If only there was a page that posts how
things are made in the world...."
648,"If only there was a page that posts how
things are made in the world..."
649,"If only there was a page that posts how
things are made in the world..."
65,"Crafting a stone to make beautiful fountain ...

Follow {@)@howthingsformed"
650,"If only there was a page that posts how
things are made in the world...."
651,"If only there was a page that posts how
things are made in the world...."
652,"If only there was a page that posts how
things are made in the world..."
